,combination,extinction_size,wv,wy
361,BY_y_cv0.05_cy0.06,58.78577581016143,0.05,0.06
362,BY_y_cv0.05_cy0.07,59.41209121066223,0.05,0.07
363,BY_y_cv0.05_cy0.08,60.061402730287234,0.05,0.08
364,BY_y_cv0.05_cy0.09,60.73927673250528,0.05,0.09
365,BY_y_cv0.05_cy0.10,61.45151071845248,0.05,0.1
366,BY_y_cv0.05_cy0.11,62.17991050065304,0.05,0.11
367,BY_y_cv0.05_cy0.12,62.95708237029285,0.05,0.12
368,BY_y_cv0.05_cy0.13,63.751957730497445,0.05,0.13
369,BY_y_cv0.05_cy0.14,64.58899982247223,0.05,0.14
370,BY_y_cv0.05_cy0.15,65.46342509724619,0.05,0.15
371,BY_y_cv0.05_cy0.16,66.37278482548136,0.05,0.16
372,BY_y_cv0.05_cy0.17,67.33333254721711,0.05,0.17
373,BY_y_cv0.05_cy0.18,68.34162495898966,0.05,0.18
374,BY_y_cv0.05_cy0.19,69.38753587076427,0.05,0.19
375,BY_y_cv0.05_cy0.20,70.49894793909645,0.05,0.2
376,BY_y_cv0.05_cy0.21,71.66033501029398,0.05,0.21
377,BY_y_cv0.05_cy0.22,72.88837198032762,0.05,0.22
378,BY_y_cv0.05_cy0.23,74.17806714018862,0.05,0.23
379,BY_y_cv0.05_cy0.24,75.54694536065908,0.05,0.24
380,BY_y_cv0.05_cy0.25,76.98357109952303,0.05,0.25
381,BY_y_cv0.05_cy0.26,78.51982089232334,0.05,0.26
382,BY_y_cv0.05_cy0.27,80.13011942180692,0.05,0.27
383,BY_y_cv0.05_cy0.28,81.84448720534748,0.05,0.28
384,BY_y_cv0.05_cy0.29,83.67808960291387,0.05,0.29
385,BY_y_cv0.05_cy0.30,85.63916424376347,0.05,0.3
386,BY_y_cv0.05_cy0.31,87.71022014148804,0.05,0.31
387,BY_y_cv0.05_cy0.32,89.92198882761151,0.05,0.32
388,BY_y_cv0.05_cy0.33,92.30404040879856,0.05,0.33
389,BY_y_cv0.05_cy0.34,94.87531012690454,0.05,0.34
390,BY_y_cv0.05_cy0.35,97.61179283815764,0.05,0.35
391,BY_y_cv0.05_cy0.36,100.5748134780308,0.05,0.36
392,BY_y_cv0.05_cy0.37,103.77115518618464,0.05,0.37
393,BY_y_cv0.05_cy0.38,107.25416902875553,0.05,0.38
394,BY_y_cv0.05_cy0.39,111.02551783373292,0.05,0.39
